start	end	text
5077	6118	Voy a ser su otro reino.
6138	6839	¿Cómo se llama usted?
7139	7700	Buenos días.
7720	8601	Mi nombre es Ignacio.
8621	9121	Vale, Ignacio.
9181	11384	Antes de nada, me gustaría preguntarte un par de cosas.
11404	12645	¿Cuántos años tiene?
12765	14687	Tengo 76 años, pero puedo estudiarnos sin problema.
14888	15909	Así estoy más común.
15949	16269	Genial.
16289	17170	Como tú prefieras.
17210	17831	Otra pregunta.
17851	18932	¿Eres del país Vasco?
19172	19653	Efectivamente.
19893	21595	Mis padres son de Cantabria, pero yo nací aquí.
21918	22358	Muy bien.
22378	23219	¿Y estás casado?
23459	24660	Sí, he venido con mi mujer.
24680	25881	Me está esperando en la sala de espera.
25921	26881	Que suerte la tuya.
26922	28242	Cuéntame qué te trae por aquí.
28282	30704	Pues mira, Vártara, he llevado tiempo sin poder moverme la cara.
31004	32245	Me cortas a reír y a abrir el lujo.
32545	33366	Ya veo el problema.
33646	37509	Antes de comentar la exploración, voy a hacerte unas preguntas para intentar orientar la causa.
37529	38029	¿Te parece?
38370	38890	Sí, claro.
38930	39831	Pregúntalo que quieras.
40011	42112	Lo primero que querrías saber es desde hace cuándo.
42132	43853	¿Desde hace cuánto tiempo te ocurre esto?
43873	45775	¿Sabrías decirme qué día iniciaste?
46115	46535	Pues no.
46836	50238	Al día exacto, lo único que puedo decirte es que empezó sobre diciembre.
50892	52833	Vale, pues comenzó hace unos tres meses.
52853	55915	Acabas de mencionar que no te acuerdas del día en el que comenzó.
56075	57996	Entiendo que entonces rampó un inicio brusco.
58556	59657	No, ha ido poco a poco.
59997	64820	Y en estos meses dirías que la incapacidad de mover la cara aéreo a mejor, a peor o sin el igual?
65801	66101	A peor.
66321	67702	Al inicio era casi imperceptible.
67842	68802	En cambio ahora se nota bastante.
69543	71704	Veo que solo tienes el lado derecho afectado.
71724	73765	¿En algún momento te ha pasado lo mismo en el izquierdo?
74106	75947	No, siempre ha sido en el mismo lado.
75987	79969	Vale, ¿y esta es la primera vez que tienes un episodio similar o alguna vez te ha pasado esto mismo?
80502	81502	Nunca que yo recuerde.
81522	82763	Esto es una cosa rosa.
82803	83623	Genial, Ignacio.
83743	88525	Quiero ahora que intentes recordar estos últimos meses y pienses en otros síntomas que hayas podido tener.
88565	91306	Por ejemplo, ¿has tenido dolor en el oído o detrás del oído?
91787	91907	No.
91927	93647	¿Y secreciones en el oído?
93887	94228	Tampoco.
94248	96589	¿Y sensación de tener el oído lleno de taponado?
96909	98149	Eso tampoco me ha pasado.
98189	102131	¿Recuerdas si en estos meses te han salido granitos o manchitas alrededor del oído?
102151	104172	¿Y qué tal tienes el ojo?
104212	107533	¿Has roto en estos meses el ojo más seco o con más lágrimas de lo normal?
107553	108793	No.
108813	109754	La verdad es que ya me ha pasado.
111523	115946	También quería saber si has tenido problemas con la salivación, tanto por demasiada saliva como por sequedad.
116406	118668	No, quizá un poco, pero no es nada evidente.
118688	120409	¿Y has tenido algún cambio en el gusto?
120850	121810	Sí, eso sí me ha pasado.
121990	123251	Últimamente la comida me salverde.
123271	127354	¿Sabrías decirme si esto te pasa en toda la lengua o ahí alguna zona que te llamemos la atención?
127774	130356	Pues diría que por la zona delantera más que la trasera.
130376	132317	Vale, y lo que me cuentas es muy útil.
132678	134119	¿Qué tal estás oyendo últimamente?
134519	137381	Pues llevo un tiempo oyendo peor, pero esto viene de mucho antes que diciembre.
137663	140145	Vale, y además de ir peor sueles escuchar pitidos?
140465	145108	Sí, a veces he oído un siluido que parece que no era de fuera, incluso cuando no estoy escuchando nada.
145148	150952	Por ejemplo, me ha pasado alguna vez estando en la cama, ahí sí que noto un pitido, incluso cuando está todo en silencio.
150972	152273	Muy bien, nos nacimos muy bien.
152293	157416	Más allá del oído y de la audición, ¿has tenido algún sistema más general como, por ejemplo, fiebre, malestar o dolor de cabeza?
157636	158236	Nada de eso.
158477	160318	¿Y has notado algo raro como debilidad,
161238	164579	cambios en la sensibilidad o cualquier cosa fuera de la habitual.
164860	167941	Pues lo único que se me ocurre es que llevo una temporada con sensación de desequilibrio.
168461	170062	Interesante.
170642	171903	Con desequilibrio, ¿a qué te refieres?
171923	172763	¿A andar inseguro?
172783	173903	Sí, eso me refiero.
173923	175324	A andar con sensación de que me voy a cagar.
175484	176424	¿Tiene sentido?
176464	177245	Tiene mucho sentido.
177265	178385	Vamos, genial, Ignacio.
178425	182367	Quiero que intentes recordar diciembre y me digas si haces algo al comienzo del segundo más.
182809	185811	¿Algo fuera de lo normal que haya podido desencadenar esto, por ejemplo?
185831	187132	¿Estuviste más espesa de lo normal?
187392	190194	No, al estrés al cobrarme de ovejas, pero nada más.
190234	194137	Otra cosa que... otras cosas que pueden estar relacionadas son los golpes y cirugías en la cabeza.
194157	197739	En tu historial no me indica que te haya pasado nada, pero quizás te hayas dado un golpe.
197999	198379	Tampoco.
198499	200521	Me caí una vez, pero solo me golpeé la rodilla.
200581	202002	Eso no tiene nada que ver, ¿no?
202042	203102	En principio no debería.
203122	205464	¿Recuerdas haber pasado un virus por esa época?
205764	206825	Bueno, tu eres frío.
206845	208346	¿Y alguna otra infección?
208626	210447	Por ejemplo, COVID, parícela o herpes.
210627	211428	De eso no tuve nada.
211984	213645	El último de diciembre fue un mes frío.
213665	216666	¿Te acuerdas si estuviste expuesto a mucho frío o a corrientes de aire?
216986	217666	Yo te diría que no.
217806	219667	Solo iré a pasear, pero hoy siempre viene a menos.
220047	222988	Bueno Ignacio, ahora vamos a hablar un poco a tus antecedentes personales.
223308	225749	Ya me has dicho que nunca antes te había pasado esta parálisis.
